date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:44	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22a8a1a62-12ae6-56e70f8abde4b%22	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/fonts/fontawesome-webfont.eot?	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/fonts/fontawesome-webfontd41d.eot	(from http://tf.itech-theme.com/brittanto-preview/brittanto/assets/css/font-awesome.min.css)
15:54:45	71896/71896	---M--	200	added ('OK')	font/woff2	etag:%22a8a1a66-118d8-56e70f8c5c341%22	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/fonts/fontawesome-webfont.woff2?v=4.6.3	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/fonts/fontawesome-webfont5b62.woff2	(from http://tf.itech-theme.com/brittanto-preview/brittanto/assets/css/font-awesome.min.css)
15:54:48	391622/391622	---M--	200	added ('OK')	image/svg+xml	etag:%22a8a1a63-5f9c6-56e70f8afb2c5%22	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/fonts/fontawesome-webfont.svg?v=4.6.3	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/fonts/fontawesome-webfont5b62.svg	(from http://tf.itech-theme.com/brittanto-preview/brittanto/assets/css/font-awesome.min.css)
15:54:50	455/-1	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2010:24:49%20GMT	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/js/bootstrap.min.js	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/js/bootstrap.min.js	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:54:50	455/-1	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2010:24:50%20GMT	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/js/jquery.slicknav.min.js	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/js/jquery.slicknav.min.js	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:54:51	164868/164868	---M--	200	added ('OK')	image/jpeg	etag:%22a8a1a80-28404-56e70f9606970%22	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/images/blog/blog-thumb.jpg	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/images/blog/blog-thumb.jpg	(from http://tf.itech-theme.com/brittanto-preview/brittanto/blog-details.html)
15:54:51	455/-1	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2010:24:51%20GMT	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/js/imagesloaded.pkgd.min.js	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/js/imagesloaded.pkgd.min.js	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:54:52	455/-1	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2010:24:51%20GMT	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/js/isotope.pkgd.min.js	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/js/isotope.pkgd.min.js	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:54:52	455/-1	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2010:24:51%20GMT	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/js/jquery.magnific-popup.min.js	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/js/jquery.magnific-popup.min.js	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:54:52	455/-1	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2010:24:52%20GMT	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/js/jquery-asPieProgress.min.js	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/js/jquery-asPieProgress.min.js	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
15:54:52	455/-1	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2027%20Jun%202018%2010:24:52%20GMT	http://tf.itech-theme.com/brittanto-preview/brittanto/assets/js/wow.min.js	/home/sanat/websites/CV/tf.itech-theme.com/brittanto-preview/brittanto/assets/js/wow.min.js	(from http://tf.itech-theme.com/brittanto-preview/brittanto/index3-particle.html)
